"REF_DATE","GEO","DGUID","Age group","Sex","High blood pressure","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","Total, 12 years and over","Females","Total population for the variable high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009411","1.1.3.1.8","0.0","","","","1"
"1994","Canada","","Total, 12 years and over","Females","With high blood pressure","Number of persons","Persons","249","units ","0","v1889070","1.1.3.2.1","1215970","","","","0"
"1994","Canada","","Total, 12 years and over","Females","With high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889071","1.1.3.2.2","1122407","","","","0"
"1994","Canada","","Total, 12 years and over","Females","With high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889072","1.1.3.2.3","1309533","","","","0"
"1994","Canada","","Total, 12 years and over","Females","With high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009415","1.1.3.2.4","3.9","","","","1"
"1994","Canada","","Total, 12 years and over","Females","With high blood pressure","Percent","Percent","239","units ","0","v4009416","1.1.3.2.5","10.0","","","","1"
"1994","Canada","","Total, 12 years and over","Females","With high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009417","1.1.3.2.6","9.2","","","","1"
"1994","Canada","","Total, 12 years and over","Females","With high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009418","1.1.3.2.7","10.8","","","","1"
"1994","Canada","","Total, 12 years and over","Females","With high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009419","1.1.3.2.8","3.9","","","","1"
"1994","Canada","","Total, 12 years and over","Females","Without high blood pressure","Number of persons","Persons","249","units ","0","v1889073","1.1.3.3.1","10939103","","","","0"
"1994","Canada","","Total, 12 years and over","Females","Without high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889074","1.1.3.3.2","10844419","","","","0"
"1994","Canada","","Total, 12 years and over","Females","Without high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889075","1.1.3.3.3","11033786","","","","0"
"1994","Canada","","Total, 12 years and over","Females","Without high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009423","1.1.3.3.4","0.4","","","","1"
